Data,Saida_Estimada,Data
2020-04-25,0,2020-04-25
2020-04-26,0,2020-04-26
2020-04-27,0,2020-04-27
2020-04-28,0,2020-04-28
2020-04-29,0,2020-04-29
2020-04-30,0,2020-04-30
2020-05-01,0,2020-05-01
2020-05-02,0,2020-05-02
2020-05-03,0,2020-05-03
2020-05-04,0,2020-05-04
2020-05-05,0,2020-05-05
2020-05-06,0,2020-05-06
2020-05-07,0,2020-05-07
2020-05-08,0,2020-05-08
2020-05-09,0,2020-05-09
2020-05-10,0,2020-05-10
2020-05-11,0,2020-05-11
2020-05-12,0,2020-05-12
2020-05-13,0,2020-05-13
2020-05-14,1,2020-05-14
2020-05-15,2,2020-05-15
2020-05-16,2,2020-05-16
2020-05-17,2,2020-05-17
2020-05-18,2,2020-05-18
2020-05-19,2,2020-05-19
2020-05-20,2,2020-05-20
2020-05-21,3,2020-05-21
2020-05-22,4,2020-05-22
2020-05-23,4,2020-05-23
2020-05-24,4,2020-05-24
2020-05-25,4,2020-05-25
2020-05-26,5,2020-05-26
2020-05-27,5,2020-05-27
2020-05-28,6,2020-05-28
2020-05-29,6,2020-05-29
2020-05-30,6,2020-05-30
2020-05-31,7,2020-05-31
2020-06-01,7,2020-06-01
2020-06-02,8,2020-06-02
2020-06-03,8,2020-06-03
2020-06-04,8,2020-06-04
2020-06-05,8,2020-06-05
2020-06-06,8,2020-06-06
2020-06-07,8,2020-06-07
'2020-06-08',10,+
'2020-06-09',10,+
'2020-06-10',10,+
'2020-06-11',11,+
'2020-06-12',11,+
'2020-06-13',12,+
'2020-06-14',13,+
'2020-06-15',13,+
'2020-06-16',14,+
'2020-06-17',15,+
'2020-06-18',16,+
'2020-06-19',17,+
'2020-06-20',18,+
'2020-06-21',19,+
'2020-06-22',20,+
'2020-06-23',21,+
'2020-06-24',22,+
