Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,0,0
2020-03-26,0,0
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,1
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,+
2020-04-07,1,1
2020-04-08,2,+
2020-04-09,2,+
2020-04-10,2,+
2020-04-11,2,+
2020-04-12,2,+
2020-04-13,2,2
2020-04-14,4,+
2020-04-15,4,+
2020-04-16,4,1
2020-04-17,5,+
2020-04-18,5,+
2020-04-19,5,+
2020-04-20,5,+
2020-04-21,5,1
2020-04-22,6,+
2020-04-23,6,1
2020-04-24,7,+
2020-04-25,7,+
2020-04-26,7,+
2020-04-27,7,2
2020-04-28,9,+
2020-04-29,9,+
2020-04-30,9,+
2020-05-01,9,+
2020-05-02,9,+
2020-05-03,9,1
2020-05-04,10,+
2020-05-05,10,+
2020-05-06,10,+
2020-05-07,10,+
2020-05-08,10,1
2020-05-09,11,+
2020-05-10,11,+
2020-05-11,11,+
2020-05-12,11,1
2020-05-13,12,1
2020-05-14,13,1
2020-05-15,14,+
2020-05-16,14,1
2020-05-17,15,+
2020-05-18,15,1
2020-05-19,16,+
2020-05-20,16,1
2020-05-21,17,+
2020-05-22,17,+
2020-05-23,17,+
2020-05-24,17,+
2020-05-25,17,+
2020-05-26,17,+
2020-05-27,17,1
2020-05-28,18,+
2020-05-29,18,+
2020-05-30,18,1
2020-05-31,20,+
2020-06-01,21,-1
2020-06-02,21,-1
2020-06-03,21,-1
2020-06-04,21,-1
2020-06-05,21,+
2020-06-06,22,-1
2020-06-07,22,-1
2020-06-08,22,+
2020-06-09,23,-1
2020-06-10,23,1
2020-06-11,25,+
2020-06-12,26,2
2020-06-13,29,-1
2020-06-14,29,2
2020-06-15,32,1
2020-06-16,34,2
2020-06-17,37,-1
2020-06-18,37,2
2020-06-19,41,-1
2020-06-20,42,1
2020-06-21,45,+
2020-06-22,47,+
2020-06-23,49,6
2020-06-24,57,-1
2020-06-25,59,2
2020-06-26,64,1
2020-06-27,68,+
2020-06-28,71,1
2020-06-29,75,+
2020-06-30,79,-3
2020-07-01,80,5
2020-07-02,89,2
2020-07-03,95,12
2020-07-04,112,2
2020-07-05,120,-3
2020-07-06,123,-1
2020-07-07,128,+
2020-07-08,134,+
2020-07-09,141,-5
2020-07-10,143,3
2020-07-11,153,+
2020-07-12,161,+
2020-07-13,169,-2
2020-07-14,175,2
2020-07-15,186,-3
2020-07-16,192,-1
2020-07-17,201,2
2020-07-18,213,3
2020-07-19,227,-227
2020-07-20,237,+
2020-07-21,248,+
2020-07-22,260,+
2020-07-23,273,+
2020-07-24,286,+
2020-07-25,300,+
2020-07-26,314,+
2020-07-27,330,+
2020-07-28,346,+
2020-07-29,363,+
2020-07-30,381,+
2020-07-31,400,+
2020-08-01,420,+
2020-08-02,441,+
2020-08-03,463,+
