Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,0,1
2020-03-26,0,2
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,0,0
2020-03-30,0,1
2020-03-31,0,0
2020-04-01,0,2
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,0,4
2020-04-05,2,5
2020-04-06,5,4
2020-04-07,7,-3
2020-04-08,5,7
2020-04-09,8,2
2020-04-10,10,-1
2020-04-11,9,-2
2020-04-12,7,6
2020-04-13,10,7
2020-04-14,14,-1
2020-04-15,14,14
2020-04-16,20,-3
2020-04-17,20,6
2020-04-18,21,-2
2020-04-19,21,-10
2020-04-20,13,5
2020-04-21,14,12
2020-04-22,21,1
2020-04-23,22,8
2020-04-24,25,15
2020-04-25,34,-5
2020-04-26,32,2
2020-04-27,30,5
2020-04-28,33,25
2020-04-29,46,-16
2020-04-30,40,-13
2020-05-01,27,11
2020-05-02,32,-7
2020-05-03,29,-5
2020-05-04,23,16
2020-05-05,31,27
2020-05-06,48,6
2020-05-07,53,-11
2020-05-08,45,37
2020-05-09,62,-17
2020-05-10,58,17
2020-05-11,60,-20
2020-05-12,52,18
2020-05-13,55,12
2020-05-14,65,9
2020-05-15,68,15
2020-05-16,76,4
2020-05-17,78,-23
2020-05-18,63,61
2020-05-19,91,10
2020-05-20,106,-13
2020-05-21,92,-1
2020-05-22,88,44
2020-05-23,110,-23
2020-05-24,101,-45
2020-05-25,66,-18
2020-05-26,49,31
2020-05-27,64,76
2020-05-28,110,-12
2020-05-29,111,-8
2020-05-30,97,-26
2020-05-31,81,-14
2020-06-01,66,2
2020-06-02,65,-7
2020-06-03,59,20
2020-06-04,67,55
2020-06-05,100,-29
2020-06-06,88,-23
2020-06-07,65,-30
2020-06-08,45,+
2020-06-09,39,64
2020-06-10,75,3
2020-06-11,85,17
2020-06-12,88,-27
2020-06-13,75,15
2020-06-14,74,-3
2020-06-15,76,-45
2020-06-16,46,27
2020-06-17,53,-3
2020-06-18,57,-9
2020-06-19,47,-2
2020-06-20,44,2
2020-06-21,43,43
2020-06-22,66,-48
2020-06-23,44,43
2020-06-24,55,31
2020-06-25,83,-20
2020-06-26,69,53
2020-06-27,93,5
2020-06-28,104,-61
2020-06-29,63,-32
2020-06-30,34,13
2020-07-01,38,-38
2020-07-02,40,+
2020-07-03,37,+
2020-07-04,37,+
2020-07-05,36,+
2020-07-06,35,+
2020-07-07,34,+
2020-07-08,33,+
2020-07-09,32,+
2020-07-10,31,+
2020-07-11,30,+
2020-07-12,30,+
2020-07-13,29,+
2020-07-14,28,+
2020-07-15,27,+
2020-07-16,27,+
