Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
2020-04-01,0,0
2020-04-02,0,0
2020-04-03,0,0
2020-04-04,0,0
2020-04-05,0,0
2020-04-06,0,0
2020-04-07,0,0
2020-04-08,0,0
2020-04-09,0,0
2020-04-10,0,0
2020-04-11,0,0
2020-04-12,0,1
2020-04-13,0,1
2020-04-14,1,0
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,1,0
2020-04-18,1,1
2020-04-19,1,0
2020-04-20,1,1
2020-04-21,1,1
2020-04-22,2,0
2020-04-23,2,0
2020-04-24,2,0
2020-04-25,2,1
2020-04-26,2,1
2020-04-27,3,0
2020-04-28,3,0
2020-04-29,3,0
2020-04-30,3,0
2020-05-01,3,0
2020-05-02,3,0
2020-05-03,3,0
2020-05-04,3,0
2020-05-05,3,1
2020-05-06,4,3
2020-05-07,6,-1
2020-05-08,5,1
2020-05-09,6,+
2020-05-10,6,+
2020-05-11,6,+
2020-05-12,6,+
2020-05-13,6,4
2020-05-14,9,1
2020-05-15,10,2
2020-05-16,12,+
2020-05-17,12,+
2020-05-18,12,1
2020-05-19,13,+
2020-05-20,13,+
2020-05-21,13,1
2020-05-22,14,1
2020-05-23,15,+
2020-05-24,15,+
2020-05-25,15,+
2020-05-26,15,+
2020-05-27,15,+
2020-05-28,15,1
2020-05-29,16,1
2020-05-30,17,+
2020-05-31,17,+
2020-06-01,17,1
2020-06-02,18,2
2020-06-03,20,+
2020-06-04,20,+
2020-06-05,20,2
2020-06-06,22,+
2020-06-07,22,1
2020-06-08,23,+
2020-06-09,23,+
2020-06-10,23,+
2020-06-11,23,1
2020-06-12,24,2
2020-06-13,26,2
2020-06-14,28,+
2020-06-15,28,1
2020-06-16,29,3
2020-06-17,32,1
2020-06-18,33,+
2020-06-19,34,7
2020-06-20,41,+
2020-06-21,42,1
2020-06-22,44,-1
2020-06-23,44,-1
2020-06-24,44,4
2020-06-25,49,2
2020-06-26,52,3
2020-06-27,56,2
2020-06-28,59,-1
2020-06-29,59,-1
2020-06-30,59,11
2020-07-01,71,4
2020-07-02,76,8
2020-07-03,85,5
2020-07-04,92,-1
2020-07-05,93,-2
2020-07-06,93,1
2020-07-07,96,6
2020-07-08,104,-104
2020-07-09,106,+
2020-07-10,108,+
2020-07-11,110,+
2020-07-12,113,+
2020-07-13,115,+
2020-07-14,118,+
2020-07-15,121,+
2020-07-16,123,+
2020-07-17,126,+
2020-07-18,129,+
2020-07-19,132,+
2020-07-20,135,+
2020-07-21,138,+
2020-07-22,142,+
2020-07-23,145,+
