Data,ONAiC_An
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,1.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,2.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,1.0
2020-04-20,2.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,2.0
2020-04-24,1.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,3.0
2020-04-28,2.0
2020-04-29,1.0
2020-04-30,2.0
2020-05-01,0.0
2020-05-02,2.0
2020-05-03,3.0
2020-05-04,4.0
2020-05-05,1.0
2020-05-06,4.0
2020-05-07,3.0
2020-05-08,2.0
2020-05-09,1.0
2020-05-10,2.0
2020-05-11,4.0
2020-05-12,6.0
2020-05-13,1.0
2020-05-14,3.0
2020-05-15,2.0
2020-05-16,2.0
2020-05-17,1.0
2020-05-18,7.0
2020-05-19,5.0
2020-05-20,4.0
2020-05-21,2.0
2020-05-22,2.0
2020-05-23,7.0
2020-05-24,5.0
2020-05-25,5.0
2020-05-26,8.0
2020-05-27,8.0
2020-05-28,9.0
2020-05-29,13.0
2020-05-30,7.0
2020-05-31,6.0
2020-06-01,13.0
