Data,NOTORSOA17004
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,1.0
2020-05-12,1.0
2020-05-13,1.0
2020-05-14,1.0
2020-05-15,1.0
2020-05-16,1.0
2020-05-17,1.0
2020-05-18,1.0
2020-05-19,1.0
2020-05-20,1.0
2020-05-21,1.0
2020-05-22,2.0
2020-05-23,2.0
2020-05-24,2.0
2020-05-25,2.0
2020-05-26,2.0
2020-05-27,2.0
2020-05-28,3.0
2020-05-29,3.0
2020-05-30,3.0
2020-05-31,3.0
2020-06-01,4.0
2020-06-02,4.0
2020-06-03,4.0
2020-06-04,5.0
2020-06-05,5.0
2020-06-06,6.0
2020-06-07,6.0
2020-06-08,6.0
2020-06-09,7.0
2020-06-10,7.0
2020-06-11,7.0
2020-06-12,7.0
2020-06-13,7.0
2020-06-14,7.0
2020-06-15,7.0
2020-06-16,8.0
2020-06-17,8.0
2020-06-18,8.0
2020-06-19,8.0
2020-06-20,8.0
2020-06-21,10.0
2020-06-22,10.0
2020-06-23,10.0
2020-06-24,14.0
2020-06-25,11.0
2020-06-26,11.0
2020-06-27,12.0
2020-06-28,12.0
2020-06-29,13.0
2020-06-30,13.0
2020-07-01,13.0
2020-07-02,15.0
2020-07-03,15.0
2020-07-04,15.0
2020-07-05,16.0
2020-07-06,17.0
2020-07-07,17.0
2020-07-08,18.0
2020-07-09,18.0
2020-07-10,18.0
2020-07-11,18.0
2020-07-12,18.0
2020-07-13,18.0
2020-07-14,20.0
2020-07-15,20.0
2020-07-16,22.0
2020-07-17,22.0
2020-07-18,23.0
2020-07-19,23.0
