Data,SEMGRSOA31013
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,1.0
2020-05-05,1.0
2020-05-06,2.0
2020-05-07,2.0
2020-05-08,2.0
2020-05-09,2.0
2020-05-10,2.0
2020-05-11,2.0
2020-05-12,2.0
2020-05-13,2.0
2020-05-14,3.0
2020-05-15,3.0
2020-05-16,3.0
2020-05-17,3.0
2020-05-18,3.0
2020-05-19,4.0
2020-05-20,4.0
2020-05-21,4.0
2020-05-22,5.0
2020-05-23,5.0
2020-05-24,5.0
2020-05-25,5.0
2020-05-26,5.0
2020-05-27,5.0
2020-05-28,5.0
2020-05-29,5.0
2020-05-30,5.0
2020-05-31,5.0
2020-06-01,5.0
2020-06-02,5.0
2020-06-03,5.0
2020-06-04,5.0
2020-06-05,5.0
2020-06-06,5.0
2020-06-07,5.0
2020-06-08,5.0
2020-06-09,5.0
2020-06-10,5.0
2020-06-11,5.0
2020-06-12,5.0
2020-06-13,5.0
2020-06-14,5.0
2020-06-15,5.0
2020-06-16,6.0
2020-06-17,7.0
2020-06-18,7.0
2020-06-19,7.0
2020-06-20,7.0
2020-06-21,7.0
2020-06-22,8.0
2020-06-23,8.0
2020-06-24,9.0
2020-06-25,9.0
2020-06-26,10.0
2020-06-27,11.0
2020-06-28,11.0
2020-06-29,11.0
2020-06-30,11.0
2020-07-01,10.0
2020-07-02,10.0
2020-07-03,10.0
2020-07-04,10.0
2020-07-05,10.0
2020-07-06,10.0
2020-07-07,10.0
2020-07-08,10.0
2020-07-09,10.0
2020-07-10,11.0
2020-07-11,11.0
2020-07-12,11.0
2020-07-13,11.0
2020-07-14,12.0
2020-07-15,14.0
2020-07-16,14.0
2020-07-17,13.0
2020-07-18,12.0
